Genus,Class,Order,Family
Apibacter,Flavobacteriia,Flavobacteriales,Weeksellaceae
Apilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Aquabacterium,Betaproteobacteria,Burkholderiales,Unknown
Aquaspirillum,Betaproteobacteria,Neisseriales,Aquaspirillaceae
Aquella,Betaproteobacteria,Neisseriales,Neisseriaceae
Aquibium,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae
Aquicella,Gammaproteobacteria,Legionellales,Coxiellaceae
Aquicoccus,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Aquifex,Aquificia,Aquificales,Aquificaceae
Aquihabitans,Acidimicrobiia,Acidimicrobiales,Iamiaceae
Aquiluna,Actinomycetes,Micrococcales,Microbacteriaceae
Aquimarina,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Aquincola,Betaproteobacteria,Burkholderiales,Sphaerotilaceae
Aquipluma,Bacteroidia,Marinilabiliales,Prolixibacteraceae
Aquipseudomonas,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
Aquirhabdus,Gammaproteobacteria,Moraxellales,Moraxellaceae
Aquirufa,Cytophagia,Cytophagales,Flectobacillaceae
Aquisalimonas,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae
Aquisediminimonas,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae
Aquisphaera,Planctomycetia,Isosphaerales,Isosphaeraceae
Aquitalea,Betaproteobacteria,Neisseriales,Chromobacteriaceae
Arachidicoccus,Chitinophagia,Chitinophagales,Chitinophagaceae
Arachnia,Actinomycetes,Propionibacteriales,Propionibacteriaceae
Arcanobacterium,Actinomycetes,Actinomycetales,Actinomycetaceae
Archaeoglobus,Archaeoglobi,Archaeoglobales,Archaeoglobaceae
Archangium,Myxococcia,Myxococcales,Archangiaceae
Arcobacter,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae
Arcticibacter,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae
Arcticibacterium,Cytophagia,Cytophagales,Leadbetterellaceae
Arenibacter,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Arenibacterium,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Aristaeella,Clostridia,Eubacteriales,Aristaeellaceae
Aristophania,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Aromatoleum,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae
Arsenicicoccus,Actinomycetes,Micrococcales,Intrasporangiaceae
Arsenophonus,Gammaproteobacteria,Enterobacterales,Morganellaceae
Arthrobacter,Actinomycetes,Micrococcales,Micrococcaceae
Asaia,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Asticcacaulis,Alphaproteobacteria,Caulobacterales,Caulobacteraceae
Athalassotoga,Thermotogae,Mesoaciditogales,Mesoaciditogaceae
Atlantibacter,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Atopobium,Coriobacteriia,Coriobacteriales,Atopobiaceae
Atribacter,Atribacteria,Atribacterales,Atribacteraceae
Atrimonas,Atribacteria,Atribacterales,Atrimonadaceae
Aurantiacibacter,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
Aurantibacillus,Sphingobacteriia,Sphingobacteriales,Aurantibacillaceae
Aurantimicrobium,Actinomycetes,Micrococcales,Microbacteriaceae
Aurantimonas,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae
Aureibacter,Cytophagia,Cytophagales,Persicobacteraceae
Aureibaculum,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Aureimonas,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae
Aureispira,Saprospiria,Saprospirales,Saprospiraceae
Aureliella,Planctomycetia,Pirellulales,Pirellulaceae
Auritidibacter,Actinomycetes,Micrococcales,Micrococcaceae
Austwickia,Actinomycetes,Micrococcales,Dermatophilaceae
Avibacterium,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Azoarcus,Betaproteobacteria,Rhodocyclales,Zoogloeaceae
Azonexus,Betaproteobacteria,Rhodocyclales,Azonexaceae
Azorhizobium,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae
Azorhizophilus,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
Azospira,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae
Azospirillum,Alphaproteobacteria,Rhodospirillales,Azospirillaceae
Azotobacter,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
Bacillus,Bacilli,Bacillales,Bacillaceae
Bacterioplanes,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Bacterioplanoides,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Bacteriovorax,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae
Bacteroides,Bacteroidia,Bacteroidales,Bacteroidaceae
Baekduia,Thermoleophilia,Solirubrobacterales,Baekduiaceae
Barnesiella,Bacteroidia,Bacteroidales,Barnesiellaceae
Barrientosiimonas,Actinomycetes,Micrococcales,Dermacoccaceae
Bartonella,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae
Basfia,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Basilea,Betaproteobacteria,Burkholderiales,Alcaligenaceae
Bdellovibrio,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae
Beggiatoa,Gammaproteobacteria,Thiotrichales,Thiotrichaceae
Beijerinckia,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae
Belliella,Cytophagia,Cytophagales,Cyclobacteriaceae
Bengtsoniella,Clostridia,Eubacteriales,Oscillospiraceae
Bergeriella,Betaproteobacteria,Neisseriales,Neisseriaceae
Bergeyella,Flavobacteriia,Flavobacteriales,Weeksellaceae
Bermanella,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Bernardetia,Cytophagia,Cytophagales,Bernardetiaceae
Berryella,Coriobacteriia,Eggerthellales,Eggerthellaceae
Beutenbergia,Actinomycetes,Micrococcales,Beutenbergiaceae
Bibersteinia,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Bifidobacterium,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae
Billgrantia,Gammaproteobacteria,Oceanospirillales,Halomonadaceae
Bisgaardia,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Bizionia,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Blastochloris,Alphaproteobacteria,Hyphomicrobiales,Blastochloridaceae
Blastococcus,Actinomycetes,Geodermatophilales,Geodermatophilaceae
Blastomonas,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae
Blattabacterium,Flavobacteriia,Flavobacteriales,Blattabacteriaceae
Blautia,Clostridia,Lachnospirales,Lachnospiraceae
Bombilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Bombiscardovia,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae
Bordetella,Betaproteobacteria,Burkholderiales,Alcaligenaceae
Borrelia,Spirochaetia,Spirochaetales,Borreliaceae
Borreliella,Spirochaetia,Spirochaetales,Borreliaceae
Bosea,Alphaproteobacteria,Hyphomicrobiales,Boseaceae
Botrimarina,Planctomycetia,Pirellulales,Lacipirellulaceae
Boudabousia,Actinomycetes,Actinomycetales,Actinomycetaceae
Brachybacterium,Actinomycetes,Micrococcales,Dermabacteraceae
Brachymonas,Betaproteobacteria,Burkholderiales,Comamonadaceae
Brachyspira,Spirochaetia,Brachyspirales,Brachyspiraceae
Bradymonas,Deltaproteobacteria,Bradymonadales,Bradymonadaceae
Bradyrhizobium,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae
Bremerella,Planctomycetia,Pirellulales,Pirellulaceae
Brenneria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae
Breoghania,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae
Brevefilum,Anaerolineae,Anaerolineales,Anaerolineaceae
Brevibacillus,Bacilli,Bacillales,Paenibacillaceae
Brevibacterium,Actinomycetes,Micrococcales,Brevibacteriaceae
Brevundimonas,Alphaproteobacteria,Caulobacterales,Caulobacteraceae
Breznakiella,Spirochaetia,Spirochaetales,Breznakiellaceae
Brochothrix,Bacilli,Bacillales,Listeriaceae
Brooklawnia,Actinomycetes,Propionibacteriales,Propionibacteriaceae
Brucella,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae
